ID,System_ID,System_Number,Link_ID,Sequence,Distance,Link_Length,Link_Label,From,To,Direction,Link,TMC,TMC_Code
1,1,"MA 10116
",-90784010,1,0.00,0.10,"CARATOKE HWY
","NC-34
","E RIDGE RD
","E
","link [hereA0110] -90784010
","tmc [hereA0110] 110-09303
","110N09303
"
2,1,"MA 10116",108633760,2,0.10,0.16,"CARATOKE HWY","E RIDGE RD",,E,"link [hereA0110] 108633760","tmc [hereA0110] 110-09303",110N09303
3,1,"MA 10116",128077388,3,0.27,0.16,"CARATOKE HWY",,"POYNER'S RD",E,"link [hereA0110] 128077388","tmc [hereA0110] 110-09303",110N09303
4,1,"MA 10116",90784008,4,0.43,0.19,"CARATOKE HWY","POYNER'S RD","WALNUT DR",E,"link [hereA0110] 90784008","tmc [hereA0110] 110-09303",110N09303
5,1,"MA 10116",128072716,5,0.61,0.10,"CARATOKE HWY","WALNUT DR",,E,"link [hereA0110] 128072716","tmc [hereA0110] 110-09303",110N09303
6,1,"MA 10116",128072715,6,0.71,1.09,"CARATOKE HWY",,"DOZIER RD",E,"link [hereA0110] 128072715","tmc [hereA0110] 110-09303",110N09303
7,1,"MA 10116",123633829,7,1.80,0.37,"CARATOKE HWY","DOZIER RD",,E,"link [hereA0110] 123633829","tmc [hereA0110] 110-09303",110N09303
8,1,"MA 10116",-123633828,8,2.17,0.45,"CARATOKE HWY",,"N CURRITUCK RD",E,"link [hereA0110] -123633828","tmc [hereA0110] 110-09303",110N09303
9,1,"MA 10116",-128072718,9,2.62,0.21,"CARATOKE HWY","N CURRITUCK RD","CURRITUCK SOUND DR",E,"link [hereA0110] -128072718","tmc [hereA0110] 110-09303",110N09303
10,1,"MA 10116",-1047857518,10,2.82,0.13,"CARATOKE HWY","CURRITUCK SOUND DR",,SE,"link [hereA0110] -1047857518","tmc [hereA0110] 110-09303",110N09303
11,1,"MA 10116",-1048081939,11,2.95,0.09,"CARATOKE HWY",,,SE,"link [hereA0110] -1048081939","tmc [hereA0110] 110-09303",110N09303
